Epsilon Discount LearningLength TestLength L1Factor NumberOfFeatures MeanDataLikelihood MeanReward
0.1 0.9 713 1000 0.0444089 14 0.428206 0.002
0.1 0.9 891 1000 0 176 0.771881 0.218
0.1 0.9 891 1000 0.00125 60 0.767905 0.217
0.1 0.9 891 1000 0.0015625 56 0.767306 0.212
0.1 0.9 891 1000 0.00195312 53 0.764839 0.218
0.1 0.9 891 1000 0.00244141 52 0.764709 0.218
0.1 0.9 891 1000 0.00305176 44 0.761666 0.22
0.1 0.9 891 1000 0.0038147 42 0.760547 0.214
0.1 0.9 891 1000 0.00476837 38 0.753637 0.213
0.1 0.9 891 1000 0.00596046 35 0.751994 0.218
0.1 0.9 891 1000 0.00745058 30 0.749403 0.22
0.1 0.9 891 1000 0.00931323 29 0.748039 0.223
0.1 0.9 891 1000 0.0116415 26 0.689561 0.014
0.1 0.9 891 1000 0.0145519 26 0.689544 0
0.1 0.9 891 1000 0.0181899 26 0.689553 0.01
0.1 0.9 891 1000 0.0227374 26 0.689538 0
0.1 0.9 891 1000 0.0284217 26 0.689555 0.054
0.1 0.9 891 1000 0.0355271 26 0.689559 0.013
0.1 0.9 891 1000 0.0444089 15 0.440498 0
0.1 0.9 1113 1000 0 176 0.755902 0.215
0.1 0.9 1113 1000 0.00125 67 0.750227 0.214
0.1 0.9 1113 1000 0.0015625 61 0.749115 0.217
0.1 0.9 1113 1000 0.00195312 53 0.74762 0.22
0.1 0.9 1113 1000 0.00244141 47 0.746158 0.214
0.1 0.9 1113 1000 0.00305176 45 0.742672 0.21
0.1 0.9 1113 1000 0.0038147 39 0.738906 0.216
0.1 0.9 1113 1000 0.00476837 36 0.734714 0.223
0.1 0.9 1113 1000 0.00596046 35 0.733153 0.218
0.1 0.9 1113 1000 0.00745058 33 0.733147 0.219
0.1 0.9 1113 1000 0.00931323 30 0.732933 0.219
0.1 0.9 1113 1000 0.0116415 29 0.727546 0.219
0.1 0.9 1113 1000 0.0145519 28 0.682755 0.001
0.1 0.9 1113 1000 0.0181899 26 0.656683 0
0.1 0.9 1113 1000 0.0227374 26 0.656685 0.002
0.1 0.9 1113 1000 0.0284217 26 0.656684 0.012
0.1 0.9 1113 1000 0.0355271 21 0.540031 0.008
0.1 0.9 1113 1000 0.0444089 14 0.423585 0.004
0.1 0.9 1391 1000 0 176 0.736698 0.213
0.1 0.9 1391 1000 0.00125 60 0.731284 0.218
0.1 0.9 1391 1000 0.0015625 57 0.730616 0.217
0.1 0.9 1391 1000 0.00195312 52 0.730045 0.217
0.1 0.9 1391 1000 0.00244141 46 0.729229 0.218
0.1 0.9 1391 1000 0.00305176 44 0.728693 0.213
0.1 0.9 1391 1000 0.0038147 42 0.728338 0.215
0.1 0.9 1391 1000 0.00476837 37 0.719877 0.22
0.1 0.9 1391 1000 0.00596046 36 0.717946 0.217
0.1 0.9 1391 1000 0.00745058 35 0.717072 0.216
0.1 0.9 1391 1000 0.00931323 34 0.716899 0.221
0.1 0.9 1391 1000 0.0116415 30 0.716861 0.206
0.1 0.9 1391 1000 0.0145519 29 0.716278 0.215
0.1 0.9 1391 1000 0.0181899 28 0.658781 0.003
