# Maze size:               2x2
# strategy               = random
# epsilon                = 0
# discount               = 0.5
# episodes               = 1000
# transitions            = 1000
# min training length    = 1
# max training length    = 1
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 100000
# feature complexity     = 2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
762 	1	0	0	0.021
774 	1	0	0	0.023
776 	1	0	0	0.014
777 	1	0	0	0.027
768 	1	0	0	0.024
779 	1	0	0	0.024
751 	1	0	0	0.023
760 	1	0	0	0.017
713 	1	0	0	0.02
770 	1	0	0	0.02
784 	1	0	0	0.018
723 	1	0	0	0.027
785 	1	0	0	0.027
748 	1	0	0	0.014
773 	1	0	0	0.02
787 	1	0	0	0.021
764 	1	0	0	0.024
791 	1	0	0	0.016
792 	1	0	0	0.022
778 	1	0	0	0.023
793 	1	0	0	0.025
766 	1	0	0	0.021
781 	1	0	0	0.014
797 	1	0	0	0.022
771 	1	0	0	0.024
783 	1	0	0	0.013
798 	1	0	0	0.017
780 	1	0	0	0.022
802 	1	0	0	0.025
703 	1	0	0	0.021
775 	1	0	0	0.019
804 	1	0	0	0.023
806 	1	0	0	0.022
755 	1	0	0	0.022
807 	1	0	0	0.02
809 	1	0	0	0.017
769 	1	0	0	0.024
794 	1	0	0	0.028
746 	1	0	0	0.022
744 	1	0	0	0.021
814 	1	0	0	0.023
815 	1	0	0	0.017
749 	1	0	0	0.02
816 	1	0	0	0.01
754 	1	0	0	0.017
818 	1	0	0	0.018
805 	1	0	0	0.026
796 	1	0	0	0.026
795 	1	0	0	0.023
823 	1	0	0	0.019
820 	1	0	0	0.027
811 	1	0	0	0.021
825 	1	0	0	0.026
788 	1	0	0	0.017
786 	1	0	0	0.017
827 	1	0	0	0.016
829 	1	0	0	0.017
817 	1	0	0	0.018
765 	1	0	0	0.019
819 	1	0	0	0.021
833 	1	0	0	0.019
835 	1	0	0	0.022
836 	1	0	0	0.024
752 	1	0	0	0.013
824 	1	0	0	0.018
838 	1	0	0	0.024
812 	1	0	0	0.021
810 	1	0	0	0.017
790 	1	0	0	0.014
841 	1	0	0	0.021
843 	1	0	0	0.021
799 	1	0	0	0.015
830 	1	0	0	0.023
737 	1	0	0	0.018
845 	1	0	0	0.021
832 	1	0	0	0.023
801 	1	0	0	0.016
821 	1	0	0	0.024
851 	1	0	0	0.018
648 	1	0	0	0.019
854 	1	0	0	0.02
855 	1	0	0	0.021
856 	1	0	0	0.029
800 	1	0	0	0.021
826 	1	0	0	0.024
813 	1	0	0	0.023
858 	1	0	0	0.016
847 	1	0	0	0.021
857 	1	0	0	0.016
850 	1	0	0	0.016
831 	1	0	0	0.018
849 	1	0	0	0.021
861 	1	0	0	0.019
782 	1	0	0	0.023
868 	1	0	0	0.017
867 	1	0	0	0.019
869 	1	0	0	0.02
789 	1	0	0	0.023
803 	1	0	0	0.024
873 	1	0	0	0.023
874 	1	0	0	0.018
862 	1	0	0	0.021
822 	1	0	0	0.017
853 	1	0	0	0.017
877 	1	0	0	0.018
844 	1	0	0	0.019
879 	1	0	0	0.023
837 	1	0	0	0.018
882 	1	0	0	0.018
883 	1	0	0	0.022
872 	1	0	0	0.014
885 	1	0	0	0.026
808 	1	0	0	0.024
887 	1	0	0	0.019
875 	1	0	0	0.017
864 	1	0	0	0.019
888 	1	0	0	0.02
871 	1	0	0	0.02
890 	1	0	0	0.029
840 	1	0	0	0.021
863 	1	0	0	0.023
846 	1	0	0	0.025
894 	1	0	0	0.013
895 	1	0	0	0.019
897 	1	0	0	0.019
886 	1	0	0	0.019
852 	1	0	0	0.015
898 	1	0	0	0.017
880 	1	0	0	0.023
899 	1	0	0	0.026
828 	1	0	0	0.023
902 	1	0	0	0.015
842 	1	0	0	0.021
892 	1	0	0	0.013
906 	1	0	0	0.016
909 	1	0	0	0.014
910 	1	0	0	0.019
859 	1	0	0	0.022
839 	1	0	0	0.022
866 	1	0	0	0.021
865 	1	0	0	0.029
889 	1	0	0	0.024
901 	1	0	0	0.023
911 	1	0	0	0.023
905 	1	0	0	0.019
848 	1	0	0	0.024
920 	1	0	0	0.024
881 	1	0	0	0.028
870 	1	0	0	0.023
922 	1	0	0	0.017
924 	1	0	0	0.028
913 	1	0	0	0.022
893 	1	0	0	0.025
914 	1	0	0	0.026
915 	1	0	0	0.017
927 	1	0	0	0.021
916 	1	0	0	0.015
904 	1	0	0	0.019
896 	1	0	0	0.021
928 	1	0	0	0.025
834 	1	0	0	0.014
923 	1	0	0	0.018
918 	1	0	0	0.022
912 	1	0	0	0.018
900 	1	0	0	0.025
876 	1	0	0	0.026
878 	1	0	0	0.02
917 	1	0	0	0.017
929 	1	0	0	0.017
941 	1	0	0	0.02
944 	1	0	0	0.028
932 	1	0	0	0.02
945 	1	0	0	0.017
933 	1	0	0	0.026
948 	1	0	0	0.022
907 	1	0	0	0.014
926 	1	0	0	0.014
949 	1	0	0	0.015
919 	1	0	0	0.015
950 	1	0	0	0.016
925 	1	0	0	0.014
884 	1	0	0	0.016
953 	1	0	0	0.009
938 	1	0	0	0.011
935 	1	0	0	0.027
921 	1	0	0	0.028
946 	1	0	0	0.02
960 	1	0	0	0.024
958 	1	0	0	0.022
937 	1	0	0	0.025
942 	1	0	0	0.018
891 	1	0	0	0.015
966 	1	0	0	0.024
967 	1	0	0	0.016
956 	1	0	0	0.024
969 	1	0	0	0.016
957 	1	0	0	0.016
970 	1	0	0	0.02
971 	1	0	0	0.021
959 	1	0	0	0.028
931 	1	0	0	0.018
975 	1	0	0	0.02
939 	1	0	0	0.023
974 	1	0	0	0.02
977 	1	0	0	0.016
930 	1	0	0	0.019
903 	1	0	0	0.019
965 	1	0	0	0.024
980 	1	0	0	0.026
983 	1	0	0	0.017
947 	1	0	0	0.016
934 	1	0	0	0.025
936 	1	0	0	0.02
961 	1	0	0	0.019
962 	1	0	0	0.015
988 	1	0	0	0.019
976 	1	0	0	0.019
952 	1	0	0	0.023
979 	1	0	0	0.018
963 	1	0	0	0.016
994 	1	0	0	0.019
995 	1	0	0	0.017
943 	1	0	0	0.014
996 	1	0	0	0.023
998 	1	0	0	0.028
984 	1	0	0	0.02
973 	1	0	0	0.025
968 	1	0	0	0.023
1000 	1	0	0	0.02
989 	1	0	0	0.025
955 	1	0	0	0.022
951 	1	0	0	0.02
992 	1	0	0	0.022
990 	1	0	0	0.021
991 	1	0	0	0.015
954 	1	0	0	0.023
978 	1	0	0	0.019
908 	1	0	0	0.021
981 	1	0	0	0.016
982 	1	0	0	0.025
940 	1	0	0	0.012
993 	1	0	0	0.023
997 	1	0	0	0.026
986 	1	0	0	0.02
999 	1	0	0	0.027
860 	1	0	0	0.013
972 	1	0	0	0.024
