# Maze size:               2x2
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 4
#     reward           : 5
#     activation       : ON_RELEASE
# Reward 1
#     ACTIVATION_STATE : 3
#     RECEIVE_STATE    : 0
#     TIME_DELAY       : 4
#     reward           : 5
#     activation       : ON_RELEASE
# Reward 2
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 1
#     TIME_DELAY       : 1
#     reward           : 1
#     activation       : ON_RELEASE
# Reward 3
#     ACTIVATION_STATE : 3
#     RECEIVE_STATE    : 2
#     TIME_DELAY       : 1
#     reward           : 1
#     activation       : ON_RELEASE
# 
# 
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 100
# max training length    = 100000
# training length factor = 1.5
# L1 coefficient         = 0.0001
# max tree size          = 100000
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
19 	505	0	17	0
38 	505	0	15	0.131
37 	505	0	13	0.504
43 	505	0	11	0.006
44 	505	0	21	1.087
40 	505	0	15	0.333
39 	505	0	19	1.495
46 	505	0	17	0.51
50 	505	0	15	0.001
60 	505	0	11	0.5
54 	505	0	15	0.006
55 	505	0	17	0.514
47 	505	0	15	0.166
51 	505	0	15	0.504
42 	505	0	15	0.136
41 	505	0	17	1
58 	505	0	15	1.332
59 	505	0	17	0.006
52 	505	0	17	0.338
45 	505	0	21	0
57 	505	0	17	0.637
48 	505	0	17	0.131
53 	505	0	19	0.342
56 	505	0	17	0.25
49 	505	0	19	0.001
62 	505	0	15	1.328
61 	505	0	19	1.222
64 	505	0	15	0.333
63 	505	0	19	0
65 	505	0	15	1.2
66 	505	0	17	1.164
67 	505	0	17	0.006
79 	505	0	13	0.008
69 	505	0	21	0.406
77 	505	0	15	1.328
72 	505	0	13	0.499
70 	505	0	19	0.695
78 	505	0	15	0.13
75 	505	0	15	0.167
80 	505	0	13	0.005
71 	505	0	15	0
82 	505	0	15	0.012
68 	505	0	15	0.002
74 	505	0	17	0.38
76 	505	0	17	0.333
87 	505	0	17	0.006
73 	505	0	19	0.337
83 	505	0	17	0.504
81 	505	0	17	0.13
85 	505	0	15	0.333
86 	505	0	17	0.21
89 	505	0	19	0.381
91 	505	0	15	0.011
98 	505	0	17	0
93 	505	0	17	0.006
92 	505	0	17	0.505
88 	505	0	19	0.539
84 	505	0	21	1.327
90 	505	0	15	0
94 	505	0	17	0.125
97 	505	0	15	0.125
99 	505	0	15	0.504
96 	505	0	17	0.334
100 	505	0	19	0.4
95 	505	0	17	0.924
17 	757	0	27	0.5
14 	757	0	25	0.338
8 	757	0	21	0.148
9 	757	0	23	0.2
12 	757	0	25	0.172
3 	757	0	23	0.222
16 	757	0	23	1.2
2 	757	0	19	1.5
4 	757	0	19	0.503
1 	757	0	29	0.002
6 	757	0	25	1.002
11 	757	0	25	1.2
18 	757	0	23	1.2
10 	757	0	21	1.5
5 	757	0	21	0
19 	757	0	23	0.2
22 	757	0	19	1.088
13 	757	0	19	0.143
24 	757	0	25	0.2
15 	757	0	25	0.255
25 	757	0	23	0.503
29 	757	0	23	1.489
7 	757	0	29	0.255
20 	757	0	25	0.501
21 	757	0	29	0.227
23 	757	0	27	1.3
26 	757	0	23	0.166
34 	757	0	25	0.26
